Classifier,Accuracy,Recall,ROC,weighted_F1,Gini_rate
KNN,0.9767,0.9592,0.9605,0.9921,0.9715
DT,0.9983,0.9965,0.9978,0.9988,1.0213
SVM,0.9987,1.0000,0.9999,0.9987,1538.3077
GBDT,0.9998,0.9996,0.9996,1.0000,0.8457
